Price,Close,High,Low,Open,Volume
Ticker,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS
Date,,,,,
2025-04-21,1635.886962890625,1650.8833529018443,1619.7982731704237,1628.7364610665206,917439
2025-04-22,1653.266845703125,1662.3044441827476,1633.4042050568116,1645.8183554607574,926695
2025-04-23,1600.9287109375,1628.7364056684244,1572.5251612801558,1628.7364056684244,4912430
2025-04-24,1593.57958984375,1611.8532429691463,1575.1073588102686,1611.8532429691463,1594861
2025-04-25,1588.8126220703125,1607.5827198845002,1562.4946240706845,1601.9219159773536,2010475
2025-04-28,1598.5452880859375,1603.9082252837381,1579.8744786979578,1588.812666950313,770118
2025-04-29,1611.6546630859375,1621.784561024548,1599.5383799092392,1599.5383799092392,895483
2025-04-30,1590.00439453125,1609.9663242699205,1582.8538923428105,1607.0862171102658,911924
2025-05-02,1550.8748779296875,1585.237220240225,1545.9092180226176,1575.1073225225748,1112942
2025-05-05,1571.432861328125,1579.0799294749459,1557.4296027038351,1561.1042639581278,672439
2025-05-06,1569.5457763671875,1581.0660828754217,1565.1759714897391,1574.1141591441856,723699
2025-05-07,1568.2547607421875,1578.3847801641966,1544.816869134145,1547.2996992034703,343957
2025-05-08,1526.6424560546875,1573.7169369206094,1516.0159921881987,1567.2615789453566,801061
2025-05-09,1537.666259765625,1541.0428114388226,1502.7079420889206,1502.7079420889206,743978
2025-05-12,1572.227294921875,1574.1142700282332,1554.4502073105,1565.771936716712,570891
2025-05-13,1582.953125,1588.713217882504,1564.182905883017,1573.1210939166342,735186
2025-05-14,1587.2235107421875,1593.9768568214943,1577.192901808576,1588.713208739217,723943
2025-05-15,1582.2579345703125,1612.5484621145156,1568.254796902823,1593.9769412605178,963117
2025-05-16,1566.56640625,1589.4084417426354,1558.2240733889123,1589.011164705073,1795856
2025-05-19,1574.1142578125,1589.8057922822068,1565.0767806417934,1577.0936538840695,1325871
2025-05-20,1549.0872802734375,1583.449621855755,1544.5187762702058,1583.449621855755,1597769
2025-05-21,1566.36767578125,1580.0729452954401,1548.292722637078,1557.2309102597424,662434
